aX,aY,aZ,gX,gY,gZ
-0.223,-0.046,1.003,5.127,4.517,18.494
-0.230,-0.090,1.013,0.732,10.132,20.386
-0.248,-0.085,1.013,-1.648,11.841,17.395
-0.213,-0.042,0.996,0.610,9.705,12.268
-0.207,-0.023,0.981,6.226,5.676,9.705
-0.158,-0.014,0.978,8.484,5.615,8.118
-0.084,0.020,0.961,5.737,9.583,6.592
-0.152,0.064,0.952,2.502,8.850,7.812
0.152,0.064,0.065,-56.335,-44.373,5.432
0.121,0.154,-0.064,-57.617,-41.687,5.310
0.101,0.251,-0.258,-56.091,-41.748,3.967
0.077,0.358,-0.510,-49.377,-43.457,2.319
0.046,0.434,-0.730,-31.860,-46.265,1.770
0.044,0.472,-0.890,-5.493,-44.434,0.427
0.062,0.490,-1.027,23.560,-34.973,-1.038
0.085,0.467,-1.085,54.321,-20.569,-1.404
0.119,0.414,-1.053,82.458,-0.610,0.061
0.157,0.337,-0.991,103.455,21.667,2.808
0.239,0.230,-0.867,118.225,43.945,7.874
0.301,0.113,-0.674,127.747,63.538,15.991
0.358,0.026,-0.525,129.517,79.712,23.132
0.406,-0.059,-0.374,128.418,92.163,27.405
0.411,-0.181,-0.169,130.066,101.013,30.334
0.450,-0.283,0.036,132.019,111.694,32.471
0.474,-0.394,0.357,131.042,126.648,34.302
0.473,-0.483,0.714,125.671,142.395,37.170
0.521,-0.512,0.924,117.615,153.320,39.001
0.530,-0.604,1.296,116.638,156.189,38.574
0.503,-0.661,1.674,117.004,154.724,36.865
0.529,-0.713,1.953,109.741,151.001,34.668
0.542,-0.716,2.214,96.436,139.465,33.997
0.549,-0.605,2.280,79.895,119.446,34.058
0.517,-0.486,2.178,63.843,95.093,33.142
0.479,-0.373,2.053,54.749,69.031,33.142
0.509,-0.278,1.823,52.612,54.199,35.278
0.473,-0.294,1.747,54.626,49.988,37.964
0.445,-0.365,1.814,56.335,61.768,42.908
0.539,-0.200,2.033,51.453,63.660,48.706
0.415,-0.344,1.987,39.429,28.137,68.359
0.367,-0.436,1.805,48.950,44.434,51.331
0.197,-0.475,1.812,53.894,47.913,43.274
0.169,-0.650,1.986,61.890,54.199,27.466
0.261,-0.728,2.316,61.096,62.866,28.748
0.130,-0.803,2.509,44.250,46.082,42.664
0.119,-0.975,2.597,27.527,42.236,47.424
-0.029,-1.009,2.697,15.625,33.936,43.701
-0.078,-1.098,2.716,8.057,13.428,39.429
-0.161,-1.281,2.771,3.052,-4.639,31.189
-0.195,-1.367,2.780,-5.798,-15.503,19.409
-0.225,-1.356,2.675,-18.372,-29.053,4.944
-0.217,-1.379,2.524,-25.024,-44.373,-8.179
-0.116,-1.357,2.341,-28.625,-56.763,-20.203
-0.229,-1.325,2.184,-35.339,-67.383,-27.710
-0.175,-1.366,1.983,-44.434,-67.322,-35.339
-0.272,-1.414,1.872,-52.307,-64.453,-48.462
-0.298,-1.421,1.748,-57.251,-55.786,-64.636
-0.309,-1.443,1.718,-58.716,-44.128,-80.139
-0.258,-1.485,1.753,-61.096,-41.138,-91.064
-0.231,-1.489,1.739,-61.707,-45.166,-104.370
-0.154,-1.435,1.713,-61.035,-55.542,-119.507
-0.100,-1.396,1.660,-59.265,-71.716,-132.629
-0.052,-1.397,1.582,-57.556,-88.989,-144.409
0.010,-1.323,1.447,-60.547,-98.328,-154.785
0.056,-1.231,1.335,-64.880,-102.539,-163.330
0.077,-1.223,1.251,-64.819,-105.957,-170.471
0.106,-1.110,1.126,-60.669,-109.680,-180.542
0.114,-0.958,1.021,-54.688,-113.403,-189.758
0.120,-0.892,0.959,-46.936,-113.098,-192.017
0.122,-0.843,0.939,-39.673,-108.826,-191.223
0.098,-0.759,0.843,-26.855,-110.168,-194.580
0.140,-0.606,0.661,-9.521,-117.676,-197.632
0.177,-0.439,0.505,7.568,-116.333,-192.993
0.218,-0.442,0.490,18.250,-96.619,-178.101
0.217,-0.722,0.615,14.038,-59.631,-164.795
0.304,-0.528,0.543,-7.751,-27.893,-171.326
0.373,-0.259,0.516,-22.766,-17.395,-175.903
0.433,-0.160,0.533,-14.587,-16.296,-165.100
0.561,-0.107,0.595,-2.441,-21.606,-148.254
0.645,0.042,0.554,3.174,-31.372,-128.906
