aX,aY,aZ,gX,gY,gZ
0.072,-0.777,1.024,-18.616,-5.493,-4.211
0.056,-0.817,1.020,-20.996,-9.338,-10.254
0.064,-0.869,1.016,-23.437,-12.451,-17.578
0.063,-0.876,1.023,-26.367,-16.663,-23.315
0.054,-0.925,1.042,-27.710,-22.095,-27.222
0.031,-1.039,1.062,-27.527,-26.672,-29.785
0.014,-1.142,1.078,-28.931,-30.212,-33.142
-0.062,-1.343,1.170,-28.015,-33.020,-35.889
-0.126,-1.549,1.266,-24.963,-27.832,-42.603
-0.175,-1.686,1.341,-24.231,-17.578,-56.580
-0.216,-1.771,1.414,-22.583,-8.606,-78.430
-0.224,-1.815,1.458,-20.691,-3.906,-105.896
-0.200,-1.786,1.459,-19.470,-4.639,-136.780
-0.155,-1.705,1.454,-17.212,-8.972,-167.297
-0.157,-1.688,1.469,-13.062,-16.296,-194.031
-0.074,-1.618,1.405,-10.742,-24.414,-221.924
-0.018,-1.470,1.281,-12.390,-34.546,-250.427
0.018,-1.286,1.103,-12.146,-48.157,-274.231
0.101,-1.174,0.921,-5.127,-62.378,-291.443
0.231,-1.055,0.754,6.226,-69.702,-305.664
0.291,-0.968,0.678,20.508,-65.613,-317.688
0.318,-0.923,0.685,34.546,-50.354,-326.965
0.435,-0.847,0.698,37.109,-27.710,-334.229
0.528,-0.690,0.699,27.405,-5.066,-339.661
0.619,-0.542,0.706,13.916,12.695,-340.332
0.695,-0.392,0.700,3.662,22.400,-333.618
0.784,-0.254,0.651,-3.784,22.156,-321.838
0.965,-0.128,0.561,-10.071,16.663,-309.326
1.218,0.015,0.498,-16.235,12.329,-295.715
1.027,0.305,0.457,-27.283,7.507,-275.513
1.552,0.450,0.441,-42.297,26.367,-238.647
1.592,0.468,0.531,-59.326,24.841,-226.257
1.573,0.475,0.552,-65.857,24.353,-223.938
1.803,0.512,0.412,-48.218,42.725,-223.755
1.930,0.666,0.443,-17.822,36.255,-218.872
2.069,0.801,0.607,14.832,18.494,-209.900
2.256,0.972,0.705,41.382,19.470,-197.327
2.303,1.154,0.847,50.415,25.513,-178.284
2.331,1.252,0.981,45.837,32.959,-159.058
2.394,1.335,1.115,39.612,46.509,-138.733
2.358,1.461,1.188,35.522,54.321,-121.033
2.482,1.584,1.195,37.903,65.613,-104.431
2.455,1.780,1.301,36.316,44.739,-81.360
2.345,1.978,1.376,25.757,7.812,-59.998
1.968,2.180,1.293,10.193,-21.667,-33.875
2.045,1.930,1.245,5.615,-36.194,-2.747
1.749,1.795,1.161,8.911,-45.898,13.184
1.973,1.672,0.729,17.822,22.461,20.569
2.032,1.561,0.434,27.893,62.927,32.959
1.781,1.478,0.596,29.175,17.334,52.673
1.681,1.419,0.801,27.893,-33.752,71.716
1.764,1.250,0.683,37.109,-41.321,89.050
1.729,1.131,0.651,47.791,-46.692,102.539
1.685,1.092,0.660,51.025,-55.176,119.385
1.614,1.008,0.720,48.157,-72.876,140.625
1.493,0.835,0.736,36.560,-87.524,160.217
1.358,0.665,0.648,18.921,-86.975,174.805
1.267,0.575,0.535,3.296,-78.430,182.495
1.185,0.546,0.436,-3.357,-71.777,185.852
1.099,0.550,0.359,0.000,-67.505,190.491
1.071,0.528,0.336,10.559,-66.833,197.815
1.085,0.505,0.283,18.127,-67.322,205.750
1.096,0.453,0.285,19.531,-60.486,214.417
1.062,0.370,0.323,13.916,-48.950,226.990
1.056,0.276,0.348,4.517,-33.020,243.286
1.011,0.185,0.395,-4.028,-13.306,257.324
0.905,0.085,0.455,-8.972,5.371,266.235
0.838,0.016,0.542,-10.986,16.785,272.827
0.841,-0.099,0.604,-8.850,15.625,279.419
0.862,-0.190,0.613,-1.404,10.437,283.020
0.885,-0.222,0.565,4.944,6.592,282.776
0.897,-0.348,0.574,13.550,2.747,283.752
0.888,-0.595,0.677,24.048,6.836,291.687
0.834,-0.841,0.798,26.855,21.118,301.575
0.733,-1.049,0.927,21.729,43.762,304.443
0.619,-1.149,1.042,12.329,64.148,297.974
0.568,-1.144,1.061,5.432,74.036,284.302
0.540,-1.102,1.015,9.705,70.984,267.883
0.492,-1.152,1.012,21.118,56.763,251.892
0.430,-1.253,1.044,30.457,41.809,238.281
0.380,-1.329,1.117,30.701,35.583,224.365
0.332,-1.440,1.204,23.499,35.828,210.266
0.278,-1.556,1.217,11.841,38.330,197.266
0.230,-1.630,1.193,2.991,41.809,184.448
0.203,-1.647,1.152,1.587,45.654,168.030
0.263,-1.651,1.140,9.277,49.927,150.940
0.367,-1.554,1.129,19.287,49.072,133.545
0.482,-1.457,1.107,25.818,49.133,118.530
0.555,-1.342,1.065,27.161,49.255,108.093
0.587,-1.257,1.054,23.865,47.852,103.455
0.556,-1.230,1.073,15.930,44.556,103.271
0.478,-1.295,1.120,5.981,40.161,105.835
0.369,-1.343,1.101,-4.517,34.729,104.919
0.233,-1.326,1.041,-11.353,26.733,95.764
0.103,-1.288,0.986,-9.338,16.418,80.811
0.030,-1.259,0.924,-0.366,6.653,63.293
-0.009,-1.230,0.851,11.414,-6.470,42.419
0.020,-1.181,0.825,26.917,-14.709,21.545
0.056,-1.062,0.810,40.649,-18.555,7.202
0.091,-1.055,0.866,50.110,-19.348,1.587
0.056,-0.902,0.955,45.715,-22.461,-0.793
0.120,-0.785,1.011,30.334,-18.555,4.456
0.130,-0.665,0.948,13.306,-2.258,7.874
0.082,-0.565,0.976,-1.038,9.949,13.428
0.088,-0.493,0.965,-13.062,13.489,13.672
0.112,-0.376,0.963,-19.409,10.315,10.071
0.142,-0.250,0.939,-16.907,6.348,2.686
0.178,-0.107,0.942,-10.315,-0.732,-3.296
0.262,-0.037,0.964,-2.686,-7.324,-6.104
0.299,0.005,0.990,3.479,-14.709,-5.554
0.309,0.033,1.031,5.798,-17.883,-4.944
0.343,0.055,1.046,3.967,-16.724,-6.653
0.375,0.092,1.057,2.625,-16.296,-8.423
0.385,0.087,1.086,5.005,-17.639,-9.155
0.398,0.081,1.092,6.348,-18.677,-10.010
0.392,0.085,1.095,4.456,-19.958,-11.536
0.397,0.048,1.110,2.136,-20.691,-12.146
0.282,-0.839,1.178,-24.658,-36.682,-28.198
0.232,-0.870,1.181,-15.564,-47.424,-34.241
0.190,-0.942,1.162,-8.728,-54.260,-39.246
0.114,-1.005,1.156,-5.432,-60.181,-45.349
0.080,-1.026,1.142,-4.456,-59.448,-52.795
0.037,-1.070,1.121,-3.113,-55.969,-59.326
0.019,-1.068,1.092,-2.747,-49.683,-70.190
0.021,-1.086,1.095,-1.587,-42.664,-83.008
0.010,-1.116,1.123,-0.793,-37.048,-104.431
0.040,-1.010,1.176,-6.531,-32.410,-127.930
0.077,-0.916,1.189,-9.705,-31.555,-147.217
0.140,-0.887,1.174,-6.897,-36.743,-161.804
0.165,-0.863,1.158,-4.150,-47.852,-174.561
0.228,-0.809,1.072,0.732,-57.251,-189.575
0.300,-0.739,1.012,8.850,-71.350,-204.529
0.348,-0.675,0.954,19.348,-82.581,-214.355
0.359,-0.624,0.902,27.954,-84.717,-222.168
0.364,-0.705,0.891,32.715,-79.041,-232.971
0.440,-0.675,0.837,33.386,-69.580,-251.099
0.486,-0.541,0.777,36.194,-61.401,-270.569
0.495,-0.453,0.774,48.584,-56.396,-286.194
0.477,-0.406,0.792,64.575,-53.833,-294.312
0.510,-0.368,0.815,70.557,-50.720,-296.875
0.549,-0.304,0.827,65.552,-45.105,-295.715
0.586,-0.215,0.820,52.856,-37.781,-290.405
0.608,-0.150,0.796,38.086,-31.189,-282.776
0.640,-0.101,0.776,24.170,-25.513,-274.170
0.713,-0.120,0.824,11.047,-20.142,-269.409
0.787,-0.031,0.824,1.038,-19.653,-273.071
0.876,0.123,0.773,-1.221,-24.963,-276.855
0.997,0.296,0.681,7.446,-36.682,-273.071
1.133,0.415,0.601,25.208,-47.729,-261.719
1.294,0.535,0.571,44.250,-47.424,-248.840
1.454,0.667,0.603,57.800,-34.424,-238.892
1.619,0.732,0.663,60.974,-10.559,-232.605
1.733,0.826,0.759,55.847,21.301,-226.990
1.750,0.975,0.833,45.105,51.636,-222.839
1.715,1.112,0.870,33.997,68.176,-215.881
1.749,1.240,0.921,30.762,65.979,-200.256
1.753,1.341,1.005,35.278,52.551,-177.551
1.779,1.361,1.122,38.391,39.917,-156.006
1.680,1.419,1.178,29.907,31.250,-136.658
1.545,1.523,1.155,12.085,26.611,-118.347
1.422,1.579,1.116,2.014,24.658,-105.042
1.547,1.475,1.111,8.667,14.221,-99.121
1.631,1.503,1.180,26.917,20.630,-95.276
1.791,1.664,0.905,50.293,65.430,-81.177
1.856,1.818,1.231,56.335,59.021,-56.946
1.857,1.951,1.602,38.879,15.503,-27.100
1.980,1.852,1.628,16.907,-6.531,4.883
1.895,1.746,1.409,-6.348,-11.169,36.865
1.810,1.619,1.175,-32.776,-22.949,64.148
